TIME: 1 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 18 ; min_ELAPSE: 16; max_ELAPSED: 21
TIME: 2 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 3 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 4 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 5 ; min_ELAPSE: 5; max_ELAPSED: 6
TIME: 5 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 4
TIME: 6 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 7 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 3
TIME: 8 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 2
TIME: 9 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 10 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 5 ; min_ELAPSE: 3; max_ELAPSED: 8
TIME: 11 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 5
TIME: 12 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 2; max_ELAPSED: 4
